paper_id,title,authors,year,venue,url
11496e28e6dd3f1ab7d2f054c46d7587988dfd86,Code-pointer integrity,Volodymyr Kuznetsov; László Szekeres; Mathias Payer; George Candea; R. Sekar; D. Song,2014,USENIX Symposium on Operating Systems Design and Implementation,https://www.semanticscholar.org/paper/11496e28e6dd3f1ab7d2f054c46d7587988dfd86
69af13520396cf2e47a8e90f640afc7659c29039,RegVault II: Achieving Hardware-Assisted Selective Kernel Data Randomization for Multiple Architectures,Ruorong Guo; Yangye Zhou; Jinyan Xu; Wenbo Shen; Yajin Zhou; Rui Chang,2025,ACM Transactions on Computer Systems,https://www.semanticscholar.org/paper/69af13520396cf2e47a8e90f640afc7659c29039
33ba21b1b75393d5f91581e0b30c405a1bd92b83,Diagnosing and Neutralizing Address-Sensitive Behavior in Multi-Variant Execution Systems,Anton Schelfhout; Adriaan Jacobs; Jonas Vinck; Stijn Volckaert,2025,European Workshop on System Security,https://www.semanticscholar.org/paper/33ba21b1b75393d5f91581e0b30c405a1bd92b83
57a6924cf9ff985468f5269d5c67f81d86b1189f,Tackling ML-based Dynamic Mispredictions using Statically Computed Invariants for Attack Surface Reduction,Chris Porter; Sharjeel Khan; Kangqi Ni; Santosh Pande,2025,International Conference on Architectural Support for Programming Languages and Operating Systems,https://www.semanticscholar.org/paper/57a6924cf9ff985468f5269d5c67f81d86b1189f
83301441bd25db90847c79af42ef509259304571,"CUDA, Woulda, Shoulda: Returning Exploits in a SASS-y World",Jonas Roels; Adriaan Jacobs; Stijn Volckaert,2025,European Workshop on System Security,https://www.semanticscholar.org/paper/83301441bd25db90847c79af42ef509259304571
1cedde88605a9957a34e8696616852065ec67e99,Non-control-Data Attacks and Defenses: A review,Lei Chong,2025,arXiv.org,https://www.semanticscholar.org/paper/1cedde88605a9957a34e8696616852065ec67e99
63b9363c76644f7a93e106be91a695d53ae66995,CleanStack: A New Dual-Stack for Defending Against Stack-Based Memory Corruption Attacks,Lei Chong,2025,arXiv.org,https://www.semanticscholar.org/paper/63b9363c76644f7a93e106be91a695d53ae66995
3074bbc460acc28b9f85ca7398faf9a534421121,SpecMPK: Efficient In-Process Isolation with Speculative and Secure Permission Update Instruction,Debpratim Adak; Huiyang Zhou; Eric Rotenberg; Amro Awad,2025,International Symposium on High-Performance Computer Architecture,https://www.semanticscholar.org/paper/3074bbc460acc28b9f85ca7398faf9a534421121
e5b0e179c6b9d0d0d17d17ae42b2924135745367,Enhancing in-process isolation for robust defense against information disclosure attacks,Hongjoo Jin; Sumin Yang; Haehyun Cho; Dong Hoon Lee,2025,Computers & security,https://www.semanticscholar.org/paper/e5b0e179c6b9d0d0d17d17ae42b2924135745367
1b2c5236b6f2eda0b039e920de0e5caa7b2c6fb0,Do we still need canaries in the coal mine? Measuring shadow stack effectiveness in countering stack smashing,Hugo Depuydt; Merve Gülmez; Thomas Nyman; J. Mühlberg,2024,arXiv.org,https://www.semanticscholar.org/paper/1b2c5236b6f2eda0b039e920de0e5caa7b2c6fb0
