paperId,title,abstract,venue,year,citationCount,openAccessPdf,fieldsOfStudy,publicationTypes,authors
0225669264fddf6468671f32f24ac05e3e84fdbd,A blended learning approach for teaching computer science in high schools,"The purpose of this research is to determine the proficiency levels of teachers giving computer education in high schools regarding blended learning. In this study, the competencies of teachers who give computer education in high schools regarding blended learning were handled in accordance with the survey model, which is one of the quantitative research methods. The study group of the research consists of 345 computer teachers who teach in high schools in the city of Almaty, Kazakhstan in the 2021–2022 academic year. The data of the study were collected with the blended learning proficiency scale developed by the researchers. As a result of the research, it was seen that the teachers giving computer education in high schools were high in the motivation sub-dimension of blended learning and moderate in the application sub-dimension. It has been determined that the blended learning competencies of the teachers are at a moderate level throughout the scale. Teachers’ competencies in blended learning show a significant difference according to the gender variable. As a result of the research, it was determined that the blended learning competencies of female teachers were higher than male teachers. It was concluded that teachers’ blended learning competencies did not show a significant difference according to the seniority variable. In-service training courses should be organised to increase the blended learning competencies of teachers giving computer education in high schools. 
  
Keywords: Blended learning, learning technologies, teacher competencies;",Cypriot Journal of Educational Sciences,2022.0,7,"{'url': 'https://un-pub.eu/ojs/index.php/cjes/article/download/7693/8964', 'status': 'GOLD', 'license': None, 'disclaimer': 'Notice: This abstract is extracted from the open access paper or abstract available at https://api.unpaywall.org/v2/10.18844/cjes.v17i7.7693?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.18844/cjes.v17i7.7693, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",,['Review'],"[{'authorId': '2149287545', 'name': 'Maira Bedebayeva'}, {'authorId': '2268103484', 'name': 'Vadim V. Grinshkun'}, {'authorId': '2092555761', 'name': 'R. Kadirbayeva'}, {'authorId': '2268103489', 'name': 'Kamshat Zhamalova'}, {'authorId': '2268103639', 'name': 'Laura Suleimenova'}]"
6c87a0bf0c731c9459b26fc689ff6564e52125af,Expanding Computer Science Access by Studying the Impact of AP CS Principles Curriculum,"This lightning talk describes the effort to expand access to computer science at IDEA Public Schools, with a goal of 33% of students enrolling in computer science before graduation. The primary driver of this effort is a 30-school randomized control trial (RCT) that is studying the impact of Advanced Placement (AP) Computer Science Principles curriculum from Code.org and The Beauty and Joy of Computing (BJC). Each school has each been assigned, at random, either Code.org or BJC and will use the assigned curriculum for a period of 3 years while the impact is evaluated. The 2021-2022 school year is the first year of this program. As a means of providing support to teachers and schools, a district-level computer science manager is creating and curating resources, including pacing guides, unit plans, exam reviews, and topic videos. In addition to the provider-facilitated summer trainings, the district provides a 3-day new-teacher content training, quarterly full-day course collaboration sessions, and bi-weekly one-hour support webinars, all focusing on AP Computer Science Principles. Further, four course leaders, current teachers with proven track records of success have been assigned to facilitate professional development and provide informal coaching to our cohort. The need for schools to competently implement the Code.org or BJC curriculum as part of the 30-school RCT has been the key factor in deciding the depth of support to provide for the AP CS Principles program.",Technical Symposium on Computer Science Education,2022.0,0,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: This abstract is extracted from the open access paper or abstract available at https://api.unpaywall.org/v2/10.1145/3478432.3499249?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1145/3478432.3499249, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",['Computer Science'],"['JournalArticle', 'Book', 'Conference', 'Review']","[{'authorId': '2069878040', 'name': 'Efrain Lopez'}]"
a76db19339b6014d89684ebcd6b0754a31c02d07,Design of E-Learning Media Modules Based on FlipBook Maker Pro in Basic Computer Networking Subjects at SMKN 1 Tanjung Raya Even Semester Academic Year 2021/2022,"This research and design aims to produce an E-Module based on FlipBook Maker Pro for class X TKJ students at SMK Negeri 1 Tanjung Raya. This study uses research and development methods (Research & Development). The design of this study used the model (ADDIE). By design the development steps are as follows (1) Analyze, (2) Design, (3) Development, (4) Implementation (5) Evaluate. The results of the validity test by the experts as a whole amounted to 86.85%, so that the level of validity can be interpreted as valid to use. The result of the overall practicality test assessment is 82.83%, so that the practicality level can be interpreted as practical to use. The results of the assessment of the overall effectiveness of the test items are 85.57%, so that the level of effectiveness can be interpreted as being effectively used. In conclusion, based on the assessment along with expert input and the results of the field trial, the E-Module based on FlipBook Maker Pro has been tested to be valid, practical and also effective in being used in the learning process on Basic Network Computer subjects for class X TKJ at SMKN 1 Tanjung Raya.",JOURNAL OF DIGITAL LEARNING AND DISTANCE EDUCATION,2022.0,2,"{'url': 'https://rjupublisher.com/ojs/index.php/JDLDE/article/download/19/22', 'status': 'HYBRID', 'license': 'CCBY', 'disclaimer': 'Notice: This abstract is extracted from the open access paper or abstract available at https://api.unpaywall.org/v2/10.56778/jdlde.v1i3.19?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.56778/jdlde.v1i3.19, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",,,"[{'authorId': '2092234080', 'name': 'Popi Radyuli'}, {'authorId': '1585028194', 'name': 'Menrisal'}, {'authorId': '2185238803', 'name': 'Lili Safitri Diati'}]"
3109febc09c05abcf1e6024b29f0d7191778fdd5,"Improving Learning Outcomes in Physical Education, Sports and Health (PJOK) Rhythmic Gymnastics Materials through the Application of the Discovery Based Learning Model for Class XI Science 1 SMA Negeri 1 Ceper Academic Year 2021/2022","This study aims to improve student learning outcomes in class XI IPA 1 SMA Negeri 1 Ceper in the PJOK subject with Rhythmic Gymnastics material, in the odd semester of the 2021/2022 school year. The subjects of this study were students of class XI IPA 1 SMA Negeri 1 Ceper Odd semesters, totalling 35 people. This research is a classroom action research conducted in two cycles. Each cycle consists of 2 meetings and consists of: planning, implementing actions, observing, evaluating, and reflecting. Data on student learning outcomes were collected through student learning activity observation sheets and assessment of PJOK subjects. The data that has been collected was analysed using descriptive analysis. The results of this study indicate that the application of the Discovery Based Learning Model in PJOK learning can improve student learning. The results achieved in this Classroom Action Research are: 1). Learning outcomes in the first cycle average value = 70. Complete learning achieved by students = 70%, 3. Learning outcomes in cycle II average value = 79. Complete learning achieved by students = 95%. Based on the research data and discussion, it can be concluded that the application of the Discovery Based Learning model in PJOK learning can improve learning outcomes Complete learning achieved by students = 95%. Based on the research data and discussion, it can be concluded that the application of the Discovery Based Learning model in PJOK learning can improve learning outcomes Complete learning achieved by students = 95%. Based on the research data and discussion, it can be concluded that the application of the Discovery Based Learning model in PJOK learning can improve learning outcomes student learning outcomes of class XI IPA 1 SMA Negeri 1 Ceper well. Student responses are very positive towards the application of the Discovery Based Learning model, because students can participate actively and the learning atmosphere is very pleasant.",Advances in Health Sciences Research,2022.0,6,"{'url': 'https://www.atlantis-press.com/article/125969186.pdf', 'status': 'GOLD', 'license': 'CCBYNC', 'disclaimer': 'Notice: This abstract is extracted from the open access paper or abstract available at https://api.unpaywall.org/v2/10.2991/ahsr.k.220106.056?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.2991/ahsr.k.220106.056, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",,,"[{'authorId': '2069146527', 'name': 'Mufti Hidayat'}, {'authorId': '66798957', 'name': 'Sujarwo Sujarwo'}]"
2b94f7b3904c3e2e3a377ae70d665b1772fe50ea,Year in Thyroidology: Clinical Science (2021-2022).,N/A.,Thyroid,2022.0,0,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: This abstract is extracted from the open access paper or abstract available at https://api.unpaywall.org/v2/10.1089/thy.2022.0591?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1089/thy.2022.0591, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",['Medicine'],['JournalArticle'],"[{'authorId': '1720746', 'name': 'A. Leung'}]"
c58fcd8edb36aafadb6764d1dbf80f59b6e1f5e7,"662 International scientific journal «Grail of Science» | № 12-13 (April, 2022) DOI 10.36074/grail-of-science.29.04.2022.119 ABSTRACT. FEATURES OF VESTIBULAR MIGRAINE DIAGNOSIS Zlata Borshchova 4th year student, 4th medical faculty Kharkiv Nationa","Actuality. Dizziness and headache are two very common conditions in the general population. However, the main disorder associated with dizziness and headache is vestibular migraine (VM) (formerly known as migraine dizziness or migraine-related dizziness) [1]. Despite the prevalence of VM and published diagnostic criteria, it still remains an underdiagnosed condition, which does not allow for specific therapy and obtain the desired positive effect. The cause of this diagnostic problem can be a wide range of additional symptoms, lack of headache in almost half of VM cases, as well as poor knowledge of diagnostic criteria and lack of cooperation between the neurological and otolaryngological community [2].",Grail of Science,2022.0,0,"{'url': 'https://doi.org/10.36074/grail-of-science.29.04.2022.119', 'status': 'HYBRID', 'license': 'CCBYSA', 'disclaimer': 'Notice: This abstract is extracted from the open access paper or abstract available at https://api.unpaywall.org/v2/10.36074/grail-of-science.29.04.2022.119?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.36074/grail-of-science.29.04.2022.119, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",,,"[{'authorId': '2042178765', 'name': 'Zlata Borshchova'}, {'authorId': '2042178782', 'name': 'Dmytro Pomazanov'}, {'authorId': '82631916', 'name': 'O. Kauk'}]"
f10b3fd6bc5bd8db453c79a1fd7aab54a67cc9b1,Infection Prevention and Control Considerations for Schools during the 2022-2023 Academic Year,"Author Affiliations: The affiliations of the members of the Ontario COVID-19 Science Advisory Table can be found at https:// covid19-sciencetable.ca/. Michelle Science*, Nisha Thampi*, Ari Bitnun*, Karen B. Born, Nicole Blackman, Eyal Cohen, Ronald D. Cohn, Vinita Dubey, Kelly Gallagher-Mackay, Sarah Khan, JinHee Kim, Daphne Korczak, Kirk Leifso, Liane M. MacDonald, Janine McCready, Andrew M. Morris, Julia Orkin, Anna Perkhun, Krystal Pollitt, Fahad A. Razak, Lindy Samson, Brian Schwartz, Jeffrey A. Siegel, Annelind Wakegijig, Upton Allen on behalf of the Ontario COVID-19 Science Advisory Table, Hospital for Sick Children, Children’s Hospital of Eastern Ontario, Unity Health, Holland Bloorview Kids Rehabilitation Hospital, Children’s Hospital at London Health Sciences Centre, McMaster Children’s Hospital, and the Kingston Health Sciences Centre. Infection Prevention and Control Considerations for Schools during the 2022-2023 Academic Year SCIENCE BRIEFS",,2022.0,1,"{'url': 'https://doi.org/10.47326/ocsat.2022.03.64.1.0', 'status': 'HYBRID', 'license': 'CCBY', 'disclaimer': 'Notice: This abstract is extracted from the open access paper or abstract available at https://api.unpaywall.org/v2/10.47326/ocsat.2022.03.64.1.0?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.47326/ocsat.2022.03.64.1.0, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",,,"[{'authorId': '2287912423', 'name': 'Michelle Science'}, {'authorId': '5071874', 'name': 'N. Thampi'}, {'authorId': '3595902', 'name': 'A. Bitnun'}, {'authorId': '4270036', 'name': 'K. Born'}, {'authorId': '2093723498', 'name': 'N. Blackman'}, {'authorId': '2064657613', 'name': 'Eyal Cohen'}, {'authorId': '2117672728', 'name': 'Ronald D. Cohn'}, {'authorId': '49249417', 'name': 'V. Dubey'}, {'authorId': '1402560564', 'name': 'Kelly Gallagher-Mackay'}, {'authorId': '2111179291', 'name': 'Sarah Khan'}, {'authorId': '2169208751', 'name': 'Jinhee Kim'}, {'authorId': '48503019', 'name': 'D. Korczak'}, {'authorId': '1390027250', 'name': 'K. Leifso'}, {'authorId': '49941064', 'name': 'L. Macdonald'}, {'authorId': '15298343', 'name': 'Janine McCready'}, {'authorId': '2111935325', 'name': 'Andrew M. Morris'}, {'authorId': '14534865', 'name': 'J. Orkin'}, {'authorId': '2120738548', 'name': 'Anna Perkhun'}, {'authorId': '7584863', 'name': 'K. Pollitt'}, {'authorId': '1887950', 'name': 'F. Razak'}, {'authorId': '3886396', 'name': 'L. Samson'}, {'authorId': '2069596844', 'name': 'Brian T Schwartz'}, {'authorId': '50224511', 'name': 'J. Siegel'}, {'authorId': '2128432764', 'name': 'Annelind Wakegijig'}, {'authorId': '11059503', 'name': 'Upton Allen'}]"
bfce4b9fc8086bd0c697fd97a535a3fc98aed3ad,The Relationship Of Stress Level With Menstrual Cycle Disorders In SMK Health Nafsiah Stabat Year 2022,"High and continuous stress can endanger the health of adolescents, where adolescents are the forerunners of the nation's successors. The future of the nation is in their hands. Adolescent girls as teenagers besides being the nation's successors in the field of development also play a role in giving birth to the next generation biologically. As the nation's successor, young women are expected to be healthy so that the quality of the nation's children is physically, psychologically and intellectually healthy. Normally, young women experience menstruation every month with a span of 21-35 days each time they menstruate. The normal menstrual cycle physiologically describes the reproductive organs that tend to be healthy and not problematic. When young women are stressed, it can cause menstrual cycle disorders, This study aims to determine the relationship between stress levels and menstrual cycle disorders in adolescent girls in grades X and XI at the Nafsiah Stabat Health Vocational School in 2022. The type of research used is descriptive correlation with a cross sectional study design. The research was conducted at the Nafsiah Stabat Health Vocational School with a sample of 34 people. Based on the results of the chi-square test using a computer, the results (p value) = 0.000 which is smaller than 0.05 can be concluded that Ho is rejected and Ha is accepted at a 5% significance level. So there is a relationship between stress levels and menstrual cycle disorders in adolescent girls at the Nafsiah Stabat Health Vocational School in 2022 at the level of confidence/significant (a) = 5% (0.05) obtained p value = 0.",Science Midwifery,2022.0,1,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': 'Notice: This abstract is extracted from the open access paper or abstract available at https://api.unpaywall.org/v2/10.35335/midwifery.v10i3.673?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.35335/midwifery.v10i3.673, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",,,"[{'authorId': '2183692010', 'name': 'Emma Frida Manurung'}]"
f0b55c574b7f13b6b10cf902fccc4d0e62e75cdd,"Origin, transformation and classification of alluvial soils (mady) in Poland – soils of the year 2022","The Soil Science Society of Poland has elected alluvial soils (Polish: mady) to be the Soils of the Year 2022. Although alluvial soils cover less than 5% of Poland, they have high importance for agriculture and forestry due to their speci ﬁ c location in river valleys, moisture status and high potential productivity. Moreover, alluvial soils play crucial role for functioning of many protected natural and semi-natural ecosystems in river valleys. Strati ﬁ ed alluvial soils, commonly involving buried topsoil horizons, are also important for the reconstruction of natural environmental chang-es (in particular climatic and hydrological ones) and human impact on the landscape. This paper presents: (a) a concept of alluvial soils in Poland; (b) a review of the development and transformation of alluvial soils in relation to river valley dynamics and human in ﬂ uences, (c) historical and present classi ﬁ cation schemes for alluvial soils in Poland and their correlation with international classi ﬁ cation systems (WRB and Soil Taxonomy); and (d) utility of alluvial soils for agriculture and forestry based on their physicochemical properties and water regime.",Soil Science Annual,2022.0,4,"{'url': 'http://www.soilsa.com/pdf-156043-82984?filename=Origin_ transformation.pdf', 'status': 'GOLD', 'license': 'CCBYNCND', 'disclaimer': 'Notice: This abstract is extracted from the open access paper or abstract available at https://api.unpaywall.org/v2/10.37501/soilsa/156043?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.37501/soilsa/156043, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",,['Review'],"[{'authorId': '152222985', 'name': 'C. Kabała'}]"
0877c7ca0d00c3586b5ac9f2eee07cd9372ddbb6,Conference on Computer Vision and Pattern Recognition (CVPR) 2022,"MAPS ARE NOT just lines, points and symbols assembled as pictures. They constitute one of the most powerful cognitive vehicles to explore and describe the world, but also a means by which to express ourselves metaphorically. The world of ubiquitous computing is now full of enthusiastic “cartographers”. The way people interact with technology, the shift from the “god’s-eye view” to any perspective in viewing space, and the necessity of employing cartographic means to make sense of big data, have introduced the need to shift the paradigm of cartography and geovisualisation to cybercartography. This involves the development of an innovative cartographic language, multisensory representations, multimodal interaction, and tools that enhance spatial literacy and develop truly map-minded spatial citizens. Following last year’s Cybercartography 2021 Workshop, the 2022 Workshop aims to bring together scientists to present innovative approaches, existing projects and technological tools, and to discuss emerging research questions related to cybercartography. Topics of interest:",Photogrammetric Record,2022.0,14,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': 'Notice: This abstract is extracted from the open access paper or abstract available at https://api.unpaywall.org/v2/10.1111/phor.1_12412?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1111/phor.1_12412, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",,,[]
