paper_id,title,authors,year,venue,url
0bcc91a806d593b3125df88f485a66caa90684f7,Disco: running commodity operating systems on scalable multiprocessors,Edouard Bugnion; Scott Devine; Kinshuk Govil; M. Rosenblum,1997,TOCS,https://www.semanticscholar.org/paper/0bcc91a806d593b3125df88f485a66caa90684f7
4487560cc7220abc4be94569f5676a18b2d1e5fd,Rust for Linux: Understanding the Security Impact of Rust in the Linux Kernel,Zhaofeng Li; Vikram Narayanan; Xiangdong Chen; Jerry Zhang; A. Burtsev,2024,Asia-Pacific Computer Systems Architecture Conference,https://www.semanticscholar.org/paper/4487560cc7220abc4be94569f5676a18b2d1e5fd
ec1c5423cd08d3d5f6ab87cd1a814ae74b3a6c1d,Advancements in Operating System Design for Cloud Computing Environments,Shashank Pareek; Laith H. A. Fezaa; Hassan M. Al-Jawahry; Jasgurpreet Singh Chohan; Jatinder Kumar; Protyay Dey,2024,2024 4th International Conference on Technological Advancements in Computational Sciences (ICTACS),https://www.semanticscholar.org/paper/ec1c5423cd08d3d5f6ab87cd1a814ae74b3a6c1d
af0f8c8a7e1b4e151e1e51f5938214023a711ef3,A Survey of Unikernel Security: Insights and Trends from a Quantitative Analysis,Alex Wollman; John D. Hastings,2024,Computer Assisted Radiology and Surgery - International Congress and Exhibition,https://www.semanticscholar.org/paper/af0f8c8a7e1b4e151e1e51f5938214023a711ef3
7bc0a1a5663e98be11853b0df4770f6db592af8c,Tackling Memory Footprint Expansion During Live Migration of Virtual Machines,Roja Eswaran; Mingjie Yan; Kartik Gopalan,2024,"IEEE/ACM International Symposium on Cluster, Cloud and Internet Computing",https://www.semanticscholar.org/paper/7bc0a1a5663e98be11853b0df4770f6db592af8c
a3307f7a6cbc8e6e0fc992bb1482f5234faac074,User-guided Page Merging for Memory Deduplication in Serverless Systems,Wei Qiu; Marcin Copik; Yun Wang; A. Calotoiu; Torsten Hoefler,2023,BigData Congress [Services Society],https://www.semanticscholar.org/paper/a3307f7a6cbc8e6e0fc992bb1482f5234faac074
58fc40ba1aaf3694f9c44425524bdc9a2c3aa35b,RTP: Rethinking Tensor Parallelism with Memory Deduplication,Cheng Luo; Tianle Zhong; Geoffrey Fox,2023,arXiv.org,https://www.semanticscholar.org/paper/58fc40ba1aaf3694f9c44425524bdc9a2c3aa35b
05b002004a65f4ad98024d3159ff9ada4f8120f6,PVM: Efficient Shadow Paging for Deploying Secure Containers in Cloud-native Environment,Hang Huang; Jiangshan Lai; J. Rao; Hui Lu; Wenlong Hou; Hang Su; Quan Xu; Jiang Zhong; Jiahao Zeng; Xu Wang; Zhengyu He; Weidong Han; Jiang Liu; Tao Ma; Song Wu,2023,Symposium on Operating Systems Principles,https://www.semanticscholar.org/paper/05b002004a65f4ad98024d3159ff9ada4f8120f6
91b87b13085149bb99e40259d00e3e3ba1f2e745,Joint Optimization of Memory Sharing and Communication Distance for Virtual Machine Instantiation in Cloudlet Networks,Jianbo Shao; Junbin Liang,2023,Electronics,https://www.semanticscholar.org/paper/91b87b13085149bb99e40259d00e3e3ba1f2e745
18ba02b71d316d4af1f9cc18fa6535b0566fce2a,CPS: A Cooperative Para-virtualized Scheduling Framework for Manycore Machines,Yuxuan Liu; Tianqiang Xu; Zeyu Mi; Zhichao Hua; B. Zang; Haibo Chen,2023,International Conference on Architectural Support for Programming Languages and Operating Systems,https://www.semanticscholar.org/paper/18ba02b71d316d4af1f9cc18fa6535b0566fce2a
9e1ae3eed931d798ddc247313fc7f514add1b76d,DuVisor: a User-level Hypervisor Through Delegated Virtualization,Jiahao Chen; Ding Li; Zeyu Mi; Yuxuan Liu; B. Zang; Haibing Guan; Haibo Chen,2022,arXiv.org,https://www.semanticscholar.org/paper/9e1ae3eed931d798ddc247313fc7f514add1b76d
db133c21fda94a568e1decf78e4ac6cc80eef5ba,nuKSM: NUMA-aware Memory De-duplication on Multi-socket Servers,Akash Panda; A. Panwar; Arkaprava Basu,2021,International Conference on Parallel Architectures and Compilation Techniques,https://www.semanticscholar.org/paper/db133c21fda94a568e1decf78e4ac6cc80eef5ba
a266d4ff464e3c626f99d0f755a56b82c7c50e8f,Sharing non‐cache‐coherent memory with bounded incoherence,Yuxin Ren; Gabriel Parmer; D. Milojicic,2021,Concurrency and Computation,https://www.semanticscholar.org/paper/a266d4ff464e3c626f99d0f755a56b82c7c50e8f
c0c673a10796c8a30cdbb8158a56fb1902f63ac4,Large-Scale Analysis of Docker Images and Performance Implications for Container Storage Systems,Nannan Zhao; Vasily Tarasov; Hadeel Albahar; Ali Anwar; Lukas Rupprecht; Dimitrios Skourtis; A. Paul; Keren Chen; A. Butt,2021,IEEE Transactions on Parallel and Distributed Systems,https://www.semanticscholar.org/paper/c0c673a10796c8a30cdbb8158a56fb1902f63ac4
cfe19da3dbd6929619a23cae61e6275470beb85b,KylinX: Simplified Virtualization Architecture for Specialized Virtual Appliances with Strong Isolation,Yiming Zhang; Chengfei Zhang; Yaozheng Wang; Kai Yu; Guangtao Xue; J. Crowcroft,2021,ACM Transactions on Computer Systems,https://www.semanticscholar.org/paper/cfe19da3dbd6929619a23cae61e6275470beb85b
43bfed1bbe786928a8e0b27a34cc1abd69a8bea5,An Approximation Algorithm for Sharing-Aware Virtual Machine Revenue Maximization,Safraz Rampersaud; Daniel Grosu,2021,IEEE Transactions on Services Computing,https://www.semanticscholar.org/paper/43bfed1bbe786928a8e0b27a34cc1abd69a8bea5
5888db4fa5ddef26f529c4595491794b96435672,Scalable Coordination of Hierarchical Parallelism,V. Devadas; Matthew Curtis-Maury,2020,International Conference on Parallel Processing,https://www.semanticscholar.org/paper/5888db4fa5ddef26f529c4595491794b96435672
a5b6e120a104cd6b9a1234db2432476327844e3d,Le Taureau: Deconstructing the Serverless Landscape & A Look Forward,Anurag Khandelwal; A. Kejariwal; K. Ramasamy,2020,SIGMOD Conference,https://www.semanticscholar.org/paper/a5b6e120a104cd6b9a1234db2432476327844e3d
8951924ef9108c6440b6473351ed288388868dd8,∅sim: Preparing System Software for a World with Terabyte-scale Memories,Mark Mansi; M. Swift,2020,International Conference on Architectural Support for Programming Languages and Operating Systems,https://www.semanticscholar.org/paper/8951924ef9108c6440b6473351ed288388868dd8
91cd37877ac5624cd27d5588a86cb50069c3a981,Lightweight kernel isolation with virtualization and VM functions,Vikram Narayanan; Yongzhe Huang; Gang Tan; T. Jaeger; A. Burtsev,2020,International Conference on Virtual Execution Environments,https://www.semanticscholar.org/paper/91cd37877ac5624cd27d5588a86cb50069c3a981
315a3230c36e75333758af3c87b5de647e4d6ae8,Bounded incoherence: a programming model for non-cache-coherent shared memory architectures,Yuxin Ren; Gabriel Parmer; D. Milojicic,2020,PMAM@PPoPP,https://www.semanticscholar.org/paper/315a3230c36e75333758af3c87b5de647e4d6ae8
b595a77b17ec0597394da1ecb9b2b0550014dfa9,TrustZone for Supervised Asymmetric Multiprocessing Systems,Mahdi Amiri-Kordestani; D. Eyers; Zhiyi Huang; Morteza Biglari-Abhari,2019,International Conference on Parallel and Distributed Computing: Applications and Technologies,https://www.semanticscholar.org/paper/b595a77b17ec0597394da1ecb9b2b0550014dfa9
250bacbf8f54ee6897e2882d2100428b7b64a762,Runtime performance evaluation and optimization of type-2 hypervisor for MIPS64 architecture,Q. Ain; M. Mehmood,2019,Journal of King Saud University: Computer and Information Sciences,https://www.semanticscholar.org/paper/250bacbf8f54ee6897e2882d2100428b7b64a762
da4d2caa28d14bc9cec284ef7515624621306576,Notary: a device for secure transaction approval,Anish Athalye; A. Belay; M. Kaashoek; R. Morris; Nickolai Zeldovich,2019,Symposium on Operating Systems Principles,https://www.semanticscholar.org/paper/da4d2caa28d14bc9cec284ef7515624621306576
afe2cec8663412f0c7360e705ff7facc6ec53df7,Closer: A New Design Principle for the Privileged Virtual Machine OS,Djob Mvondo; Boris Teabe; A. Tchana; D. Hagimont; N. D. Palma,2019,"IEEE/ACM International Symposium on Modeling, Analysis, and Simulation On Computer and Telecommunication Systems",https://www.semanticscholar.org/paper/afe2cec8663412f0c7360e705ff7facc6ec53df7
9fd176668b7f9645c9a2797610af44d4195678a9,An Examination Method of Mergeable Memory Page Distribution for Memory Deduplication,Masahito Shiba,2019,Global Conference on Consumer Electronics,https://www.semanticscholar.org/paper/9fd176668b7f9645c9a2797610af44d4195678a9
85e288f81176428360e46bdae5caf5e04d5aa3af,Large-Scale Analysis of the Docker Hub Dataset,Nannan Zhao; Vasily Tarasov; Hadeel Albahar; Ali Anwar; Lukas Rupprecht; Dimitrios Skourtis; Amit Warke; Mohamed Mohamed; A. Butt,2019,IEEE International Conference on Cluster Computing,https://www.semanticscholar.org/paper/85e288f81176428360e46bdae5caf5e04d5aa3af
589224064f46a2b9d469d8b42ae8b0bafc67f900,I/O Is Faster Than the CPU: Let's Partition Resources and Eliminate (Most) OS Abstractions,Pekka Enberg; Ashwin Rao; Sasu Tarkoma,2019,USENIX Workshop on Hot Topics in Operating Systems,https://www.semanticscholar.org/paper/589224064f46a2b9d469d8b42ae8b0bafc67f900
ce2c4caf71a379f0607137f814222863cfb9f2cc,The Ideal Versus the Real,Allison Randal,2019,ACM Computing Surveys,https://www.semanticscholar.org/paper/ce2c4caf71a379f0607137f814222863cfb9f2cc
b935c695627ec9ad7fcf812e63396794d782f1f3,When eXtended Para - Virtualization (XPV) Meets NUMA,Vo Quoc Bao Bui; Djob Mvondo; Boris Teabe; Kevin Jiokeng; Patrick Lavoisier Wapet; A. Tchana; Gaël Thomas; D. Hagimont; Gilles Muller; N. D. Palma,2019,European Conference on Computer Systems,https://www.semanticscholar.org/paper/b935c695627ec9ad7fcf812e63396794d782f1f3
62cef12e9e8ffb01e9d8b3fd7600c311cfd14140,Cyber-Physical Control and Virtual Instrumentation,Sonal Varshney; S. Rohit; Sunidhi; Anirudh Gururaj Jamkhandi; D. Thanya; Meena Parathodiyil,2019,The Review,https://www.semanticscholar.org/paper/62cef12e9e8ffb01e9d8b3fd7600c311cfd14140
18e107a8efc77adb9cfe69b5aa7a71f894924727,PCA: Page Correlation Aggregation for Memory Deduplication in Virtualized Environments,Min Zhu; Kun Zhang; Bibo Tu,2018,"International Conference on Information, Communications and Signal Processing",https://www.semanticscholar.org/paper/18e107a8efc77adb9cfe69b5aa7a71f894924727
64d27afd59aef44bd6d56298cedf6443869f4bcd,Do-It-Yourself Virtual Memory Translation,H. Alam; Tianhao Zhang; M. Erez; Yoav Etsion,2018,OPSR,https://www.semanticscholar.org/paper/64d27afd59aef44bd6d56298cedf6443869f4bcd
0aa3c62f6fb954fdf1c080e0ca8faa5c113e184b,Proving Partial-Correctness and Invariance Properties of Transition-System Models,Vlad Rusu; G. Grimaud; M. Hauspie,2018,Theoretical Aspects of Software Engineering,https://www.semanticscholar.org/paper/0aa3c62f6fb954fdf1c080e0ca8faa5c113e184b
1e199676469fe00fbf2bbfb8925df11e5369333a,Cloud-Native File Systems,Remzi H. Arpaci-Dusseau; Andrea C. Arpaci-Dusseau; Venkateshwaran Venkataramani,2018,USENIX Workshop on Hot Topics in Cloud Computing,https://www.semanticscholar.org/paper/1e199676469fe00fbf2bbfb8925df11e5369333a
3d7bcd21cbb8a8f9264ab6005292c885d898b9a0,Deduplicating TLB entries for shared pages,Jeongseob Ahn,2018,IEICE Electronics Express,https://www.semanticscholar.org/paper/3d7bcd21cbb8a8f9264ab6005292c885d898b9a0
ab22ab67fb08ff97c4cea8dae75628fa2412ec8f,Working Set Size Estimation Techniques in Virtualized Environments,Vlad Nitu; A. Kocharyan; Hannas Yaya; A. Tchana; D. Hagimont; H. Astsatryan,2018,Proceedings of the ACM on Measurement and Analysis of Computing Systems,https://www.semanticscholar.org/paper/ab22ab67fb08ff97c4cea8dae75628fa2412ec8f
e3f5c34b7eb2ba8c23f92ddc1551005f7513301c,Efficient Virtualization of NUMA Architectures,Gauthier Voron,2018,,https://www.semanticscholar.org/paper/e3f5c34b7eb2ba8c23f92ddc1551005f7513301c
5156e305e7c26e215cdcc4a71028be6e8d4a6e17,Classifying malware attacks in IaaS cloud environments,Noëlle Rakotondravony; Benjamin Taubmann; Waseem Mandarawi; Eva Weishäupl; Peng Xu; Bojan Kolosnjaji; Mykola Protsenko; H. D. Meer; Hans P. Reiser,2017,Journal of Cloud Computing,https://www.semanticscholar.org/paper/5156e305e7c26e215cdcc4a71028be6e8d4a6e17
963714f01e9344f27b5ad909e21e5fa00225b8ea,Deductive Verification of a Hypervisor Model,Vlad Rusu; G. Grimaud; M. Hauspie; Francois Serman,2017,,https://www.semanticscholar.org/paper/963714f01e9344f27b5ad909e21e5fa00225b8ea
70acd430611c0abe18c9a561aff431ddf82ece6a,PageForge: A Near-Memory Content-Aware Page-Merging Architecture,Dimitrios Skarlatos; N. Kim; J. Torrellas,2017,Micro,https://www.semanticscholar.org/paper/70acd430611c0abe18c9a561aff431ddf82ece6a
0a3315998e9532167d8b0b6ccc8052abcfae9ec9,The Case for a Single System Image for Personal Devices,Beom Heyn Kim; E. D. Lara; D. Lie,2017,arXiv.org,https://www.semanticscholar.org/paper/0a3315998e9532167d8b0b6ccc8052abcfae9ec9
